AIANNHCE,AIANNHNS,GEOID,NAME,NAMELSAD,ALAND,AWATER,tot_pop,Shape_Length,Shape_Area
4255,255924,4255R,Torres-Martinez,Torres-Martinez Reservation,88623712,38962138,2511,2.886207982,0.012375592
4275,268407,4275R,Trinidad,Trinidad Rancheria,230909,0,170,0.023438657,2.47E-05
4290,1511575,4290R,Tulalip Tribes,Tulalip Reservation,89881141,45264275,9997,0.565953645,0.01631155
4300,275158,4300R,Tule River,Tule River Reservation,218116280,927,1227,0.697326892,0.021810402
7630,2419263,7630R,Tuluksak,Tuluksak ANVSA,7577771,246129,415,0.187117152,0.001301962
4315,2419503,4315R,Tunica-Biloxi,Tunica-Biloxi Reservation,1689054,0,141,0.08823036,0.000159704
7640,2419265,7640R,Tuntutuliak,Tuntutuliak ANVSA,4984619,716251,566,0.21932772,0.000926555
7645,2419267,7645R,Tununak,Tununak ANVSA,157228998,620897,339,1.075004746,0.025842079
4330,236635,4330R,Tuolumne,Tuolumne Rancheria,1539777,0,196,0.069516143,0.0001579
4345,1934334,4345R,Turtle Mountain Indian Reservation,Turtle Mountain Reservation,174815373,11228748,9259,0.699192053,0.022794524
4360,979564,4360R,Tuscarora Nation,Tuscarora Nation Reservation,23524717,0,1078,0.235775854,0.002603761
4375,250737,4375R,Twenty-Nine Palms,Twenty-Nine Palms Reservation,1647478,0,7,0.080557717,0.000160536
7650,2419269,7650R,Twin Hills,Twin Hills ANVSA,59318572,348444,63,0.708949651,0.00934142
7655,2419272,7655R,Tyonek,Tyonek ANVSA,32960617,1695007,348,0.556689768,0.005763468
5216,1853355,5216T,Ualapue,Ualapue Hawaiian Home Land,1658281,0,5,0.073930369,0.000144125
7665,2419274,7665R,Ugashik,Ugashik ANVSA,247620490,2205172,8,1.544295143,0.037420546
4390,1448012,4390R,Uintah and Ouray,Uintah and Ouray Reservation,17538820315,132099968,25857,9.144704385,1.866282384
4405,1159100,4405R,Umatilla,Umatilla Reservation,700326730,0,2937,2.901169428,0.080802133
7690,2419276,7690R,Unalakleet,Unalakleet ANVSA,30752192,5397755,702,0.382991141,0.00660918
7695,2419277,7695R,Unalaska,Unalaska ANVSA,215640186,6061688,4781,1.746909738,0.030288891
9950,2575195,9950R,United Cherokee Ani-Yun-Wiya Nation,United Cherokee Ani-Yun-Wiya Nation SDTSA,21923628,2152751,6496,0.45520445,0.002358247
9960,2419278,9960R,United Houma Nation,United Houma Nation SDTSA,1507180282,64502259,203711,4.021293569,0.146368202
5222,2634633,5222T,Upolu,Upolu Hawaiian Home Land,142285,0,0,0.019323191,1.23E-05
4430,1654496,4430R,Upper Lake,Upper Lake Rancheria,1918813,8580,105,0.091693251,0.000200949
4445,653567,4445R,Upper Sioux,Upper Sioux Community,5200533,115487,132,0.185684513,0.000604201
4455,2419510,4455R,Upper Skagit,Upper Skagit Reservation,455129,0,266,0.054308887,5.54E-05
9963,2564995,9963R,Upper South Carolina Pee Dee,Upper South Carolina Pee Dee SDTSA,102270828,90857,1363,0.413759437,0.010050598
4470,169579,4470R,Ute Mountain,Ute Mountain Reservation,2302794335,354826,1544,3.717348858,0.233445794
7725,2575192,7725R,Venetie,Venetie ANVSA,30296041,0,134,0.542029224,0.006235233
4500,251037,4500R,Viejas,Viejas Reservation,6495773,0,459,0.15206593,0.0006257
